School_ID,Attendance_Boundaries,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Dress_Code,College_Enrollment_Rate_School,Graduation_Rate_School,Culture_Climate_Rating,Creative_School_Certification,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,Student_Attendance_Avg,Teacher_Attendance_Year_1_Pct,Teacher_Attendance_Year_2_Pct,Teacher_Attendance_Avg,Supportive_School_Award,SAT_Grade_11_Score_School_Avg,School_Latitude,School_Longitude
400128,FALSE,65,53,16,1,63,1,0,0,0,0,0,0,0,1,FALSE,7.1,,WELL ORGANIZED,DEVELOPING,NOT ENOUGH DATA,STRONG,STRONG,STRONG,STRONG,WEAK,48.2,47.4,47.8,,,,EMERGING,780,41.864943,-87.723662
400129,FALSE,98,72,22,2,94,4,0,0,0,0,0,0,0,0,TRUE,7,,ORGANIZED,INCOMPLETE DATA,NOT ENOUGH DATA,VERY STRONG,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,75,63.5,69.25,,,,EMERGING,745,41.773962,-87.61574
400130,FALSE,79,52,19,4,74,4,0,0,1,0,0,0,0,0,TRUE,12.5,,ORGANIZED,INCOMPLETE DATA,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,58.6,52.9,55.75,,,,NOT RATED,788,41.751377,-87.641731
400131,FALSE,128,87,26,19,29,88,3,2,1,0,0,3,0,2,TRUE,14.5,,WELL ORGANIZED,EMERGING,NEUTRAL,STRONG,NEUTRAL,STRONG,STRONG,NEUTRAL,73.9,54.2,64.05,,,,EXEMPLARY,778,41.90285,-87.696006
400133,FALSE,426,357,97,10,380,40,5,0,0,0,0,0,0,1,TRUE,20.1,,ORGANIZED,STRONG,NOT ENOUGH DATA,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,49.6,54.5,52.05,,,,EMERGING,745,41.883047,-87.627734
400135,FALSE,155,113,31,50,8,144,2,0,1,0,0,0,0,0,TRUE,19.2,,WELL ORGANIZED,EMERGING,NEUTRAL,STRONG,STRONG,STRONG,NEUTRAL,NEUTRAL,55,62.3,58.65,,,,EMERGING,804,41.854665,-87.69543
400136,FALSE,126,88,14,6,102,22,1,0,0,0,0,0,0,1,TRUE,18.2,,WELL ORGANIZED,INCOMPLETE DATA,STRONG,STRONG,STRONG,STRONG,STRONG,NEUTRAL,59.2,60.3,59.75,,,,EMERGING,,41.712922,-87.592333
400137,FALSE,77,61,12,0,75,2,0,0,0,0,0,0,0,0,FALSE,32.1,100,MODERATELY ORGANIZED,STRONG,NOT ENOUGH DATA,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,91.3,74.8,83.05,,,,EMERGING,792,41.809695,-87.59934
400139,FALSE,320,262,61,3,287,29,0,0,0,0,0,4,0,0,FALSE,8.7,,WELL ORGANIZED,INCOMPLETE DATA,STRONG,VERY STRONG,VERY STRONG,STRONG,STRONG,VERY STRONG,90.8,88.5,89.65,,,,NOT RATED,723,41.746287,-87.578492
400141,FALSE,168,103,23,34,37,92,14,15,2,0,0,3,1,4,FALSE,33.3,,ORGANIZED,INCOMPLETE DATA,NOT ENOUGH DATA,STRONG,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NEUTRAL,58.3,51.1,54.7,,,,EMERGING,804,41.965295,-87.659239
400143,FALSE,75,49,18,2,59,13,0,0,0,0,0,0,0,3,TRUE,9.5,,ORGANIZED,EMERGING,WEAK,STRONG,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,70.4,55.6,63,,,,EXEMPLARY,781,41.890803,-87.702053
400144,FALSE,61,47,14,2,51,9,1,0,0,0,0,0,0,0,TRUE,14.1,,ORGANIZED,DEVELOPING,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,44.7,48.1,46.4,,,,NOT RATED,,41.90224,-87.74881
400145,FALSE,99,75,25,2,88,9,0,1,0,0,0,0,0,1,TRUE,7.2,,ORGANIZED,INCOMPLETE DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,STRONG,STRONG,WEAK,36.3,58.2,47.25,,,,NOT RATED,770,41.832072,-87.626781
400147,FALSE,223,157,24,1,211,7,0,0,1,0,0,0,0,4,TRUE,16.4,33.3,PARTIALLY ORGANIZED,INCOMPLETE DATA,VERY WEAK,NEUTRAL,STRONG,NEUTRAL,WEAK,WEAK,68.1,71.1,69.6,,,,EXEMPLARY,742,41.691953,-87.654248
400149,FALSE,564,430,98,272,1,559,3,0,1,0,0,0,0,0,TRUE,64.1,88.5,WELL ORGANIZED,INCOMPLETE DATA,STRONG,STRONG,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,86.5,82.6,84.55,,,,NOT RATED,842,41.801762,-87.711025
400150,FALSE,82,73,18,0,78,2,0,0,0,0,0,2,0,0,TRUE,20,,ORGANIZED,INCOMPLETE DATA,NOT ENOUGH DATA,NEUTRAL,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,59.3,51.9,55.6,,,,EMERGING,,41.730131,-87.60698
400156,FALSE,636,557,111,16,599,33,1,0,0,0,0,2,0,1,TRUE,62.5,84.4,PARTIALLY ORGANIZED,INCOMPLETE DATA,WEAK,NEUTRAL,STRONG,WEAK,WEAK,WEAK,70.2,78.2,74.2,,,,NOT RATED,828,41.706667,-87.602573
400157,FALSE,237,198,59,31,186,44,0,0,0,0,0,2,0,5,TRUE,81.8,72,ORGANIZED,EMERGING,STRONG,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,71.2,77.2,74.2,,,,NOT RATED,869,41.734622,-87.556201
400164,FALSE,42,33,5,13,1,39,1,0,1,0,0,0,0,0,FALSE,11.8,,NOT ENOUGH DATA,INCOMPLETE DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,54.5,43.6,49.05,,,,NOT RATED,858,41.845957,-87.685903
400169,FALSE,1091,966,154,353,115,954,13,4,3,0,0,1,0,1,TRUE,83.1,88.6,ORGANIZED,EMERGING,STRONG,STRONG,STRONG,NEUTRAL,WEAK,WEAK,79,86.4,82.7,,,,NOT RATED,922,41.92563,-87.769808
